id;matricola;nome;cognome;data_nascita
1;86850;Investor;Designer synthesizing withdrawal;2022-11-23T20:07:57
2;50170;copy;extranet pixel;2022-11-24T05:39:22
3;50262;Bedfordshire Bedfordshire;Springs Technician expedite;2022-11-23T11:47:59
4;12416;Dynamic utilize;client-driven;2022-11-23T21:38:15
5;99759;applications Cambridgeshire;maroon SCSI;2022-11-24T02:53:25
6;624;Dynamic wireless Beauty;neural Street Montana;2022-11-23T14:39:06
7;88171;Islands;front-end;2022-11-24T05:13:16
8;23903;Intranet;optical impactful;2022-11-23T21:10:27
9;12067;Cambridgeshire digital;encoding;2022-11-23T17:31:52
10;81927;Buckinghamshire Principal;national;2022-11-23T10:27:33
